java '-javaagent:../../../../Downloads/ngrinder-agent/lib/grinder-dcr-agent-3.9.1.jar' '-Djna.library.path=/home/john/.ngrinder_agent/file-store/admin/current/lib' '-Dpython.path=/home/john/.ngrinder_agent/file-store/admin/current/lib' '-Dpython.cachedir=/tmp/jython' '-Dngrinder.etc.hosts=john-VirtualBox:127.0.0.1,localhost:127.0.0.1,' '-Dsun.net.spi.nameservice.provider.1=dns,LocalManagedDns' '-Xms628m' '-Xmx628m' '-XX:PermSize=128m' '-XX:MaxPermSize=128m' -classpath '../../../../Downloads/ngrinder-agent/lib/ngrinder-runtime-3.4.jar:../../../../Downloads/ngrinder-agent/lib/grinder-patch-3.9.1-patch.jar:.:../../../../Downloads/ngrinder-agent/lib/grinder-dcr-agent-3.9.1.jar:../../../../Downloads/ngrinder-agent/lib/grinder-core-3.9.1.jar:../../../../Downloads/ngrinder-agent/lib/json-20090211.jar:../../../../Downloads/ngrinder-agent/lib/dnsjava-2.1.1.jar:../../../../Downloads/ngrinder-agent/lib/slf4j-api-1.6.4.jar:../../../../Downloads/ngrinder-agent/lib/logback-classic-1.0.0.jar:../../../../Downloads/ngrinder-agent/lib/picocontainer-2.13.6.jar:../../../../Downloads/ngrinder-agent/lib/jython-standalone-2.5.3.jar:../../../../Downloads/ngrinder-agent/lib/commons-lang-2.6.jar:../../../../Downloads/ngrinder-agent/lib/hamcrest-all-1.1.jar:../../../../Downloads/ngrinder-agent/lib/commons-io-2.0.1.jar:../../../../Downloads/ngrinder-agent/lib/ngrinder-runtime-3.4.jar:../../../../Downloads/ngrinder-agent/lib/grinder-httpclient-3.9.1.jar:../../../../Downloads/ngrinder-agent/lib/logback-core-1.0.0.jar:../../../../Downloads/ngrinder-agent/lib/junit-dep-4.8.2.jar:../../../../Downloads/ngrinder-agent/lib/grinder-http-3.9.1.jar:../../../../Downloads/ngrinder-agent/lib/asm-3.3.1.jar' net.grinder.engine.process.WorkerProcessEntryPoint

2016-05-30 19:09:12,486 INFO  The Grinder version 3.9.1
2016-05-30 19:09:20,363 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:20,377 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:20,386 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:20,401 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:20,411 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:20,417 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:20,458 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:20,478 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:20,496 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:20,510 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:20,529 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:20,544 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:20,566 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:20,589 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:20,604 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:20,619 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:20,640 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:20,652 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:20,674 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:20,703 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:20,718 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:20,733 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
2016-05-30 19:09:20,747 INFO  http://127.0.0.1:5000/search -> 200 OK, 1137 bytes
